,index,SMILES,atÊýÄ¿,RT,Speed,i-PrOH_proportion,Literature,Column
5694,2953,CCOC(=O)[C@H]1N[S](=O)(=O)Oc2c1ccc3ccccc23,1,32.1,1,0.1,10.1039/D0CC01220C,ADH
5696,2954,Cc1cccc(NC(=O)N2CC(C)(C)C[C@]2(CC(F)F)c3ccccc3)c1,1,32.12,0.5,0.05,10.1038/ncomms14841,OD3
5698,2955,CC[C@H](C#Cc1ccnc2ccccc12)c3ccccc3,1,32.12,0.3,0.02,10.1038/s41557/019/0346/2,OD3
5699,2956,CCC(=O)C[C@H](C#N)c1ccc2ccccc2c1,1,37.4,1,0.01,10.1038/s41467/021/22127/x,AD
5702,2957,CC(C)(CC[C@H](C#CCn1c2ccccc2c3ccccc13)C#Cc4ccccc4)NC(=O)c5ccccc5,1,32.3,0.8,0.1,10.1038/s41467/019/13705/1,ADH
5703,2958,O=C1C[C@H](CO1)c2occc2,1,28.2,1,0.01,10.1021/acscatal.9b02667,ADH
5705,2959,O[C@H](CCl)c1ccccc1Cl,1,28.4,1,0.01,10.1002/adsc.201800267,OJH
5708,2960,C[S](=O)(=O)C[C@H](O)c1cccc(Br)c1,1,32.3,1,0.2,10.1039/c8ob02923g,OJH
5710,2961,CC1(C)CN(C(=O)Nc2cccc(Br)c2)[C@](CC(F)F)(C1)c3ccccc3,1,32.38,0.5,0.05,10.1038/ncomms14841,OD3
5712,2962,C[C@H](CC(=O)NC(C)(C)c1cc(Cl)ccn1)c2ccc(cc2)C(C)=O,1,32.4,0.5,0.1,10.1002/anie.201804197,ADH
5713,2963,COc1ccc2n(C)c3COC[C@H](CC=O)c3c2c1,1,37.3,1,0.1,10.1021/ol0703130,ADH
5715,2964,O[C@H](CCl)c1ccc(Br)cc1,1,36.6,1,0.02,10.1002/adsc.201800267,OJH
5717,2965,O=C(O[C@H](CCCCC#N)\C=C\c1ccccc1)c2ccc3ccccc3c2,1,17.29,1,0.3,10.1021/jacs.1c06535,AZ
5720,2966,COc1cc2[C@H](C)CCC(=O)c2cc1C,1,32.48,0.3,0.02,10.1038/s41557/019/0346/2,OD3
5722,2967,C[C@H](CC=O)c1ccc(cc1)c2ccccc2,1,32.5,1,0.03,10.1021/jacs.8b00275,ASH
5724,2968,CC1(C)CN(C(=O)Nc2cccc(Cl)c2)[C@](CC(F)F)(C1)c3ccccc3,1,32.54,0.4,0.05,10.1038/ncomms14841,AD3
5727,2970,O[C@H]1CCc2ccccc12,1,32.6,1,0.01,10.1002/adsc.201800839,ODH
5728,2971,Cc1ccccc1C[C@H]2CCCOC2=O,1,29.6,1,0.05,10.1039/C9OB02536G,OJH
5731,2972,COc1ccc(cc1)C2=Cc3ccccc3[C@H](N2c4ccccc4)[P](=O)(OC)OC,1,32.676,0.5,0.2,10.1021/acs.orglett.0c02487,IC
5732,2973,COC(=O)C[C@H]1Nc2ccccc2OC1=O,1,41,1,0.05,10.1039/c9ra02694k,ADH
